"","NOMBRE_ZON","zonas_names","OPERADOR_S","LOCALIDAD_","SERVICIOS_","p0","p1","p2","p3","p4","p5","pt","q.p0","q.p1","q.p2","q.p3","q.p4","q.p5"
"1",0,"Neutra","0","0",0,75,215,225,196,97,55,934,0.0802997858672377,0.230192719486081,0.240899357601713,0.209850107066381,0.103854389721627,0.0588865096359743
"2",1,"Usaquén","CONSORCIO EXPRESS S.A.S.","1, 2",1480,51,248,197,179,47,13,755,0.0675496688741722,0.328476821192053,0.260927152317881,0.237086092715232,0.0622516556291391,0.0172185430463576
"3",9,"Bosa","EMPRESA DE TRANSPORTE INTEGRADO DE BOGOTA S.A.","7, 8, 16",1260,63,191,132,87,69,85,666,0.0945945945945946,0.286786786786787,0.198198198198198,0.130630630630631,0.103603603603604,0.127627627627628
"4",8,"Kennedy","MASIVO CAPITAL","8, 16, 14",1075,32,131,149,108,45,49,576,0.0555555555555556,0.227430555555556,0.258680555555556,0.1875,0.078125,0.0850694444444444
"5",11,"Ciudad Bolívar","ORGANIZACIRN SUMMA S.A.S.","19, 6",708,68,185,118,75,73,19,571,0.119089316987741,0.32399299474606,0.206654991243433,0.131348511383538,0.12784588441331,0.0332749562171629
"6",13,"San Cristóbal","CONSORCIO EXPRESS S.A.S.","4, 17, 3, 15",777,59,191,127,57,32,16,553,0.106690777576854,0.345388788426763,0.229656419529837,0.103074141048825,0.0578661844484629,0.0289330922242315
"7",12,"Usme","TRANSPORTE ZONAL INTEGRADO TRANZIT S.A.S.","5",726,19,217,154,45,21,23,535,0.0355140186915888,0.405607476635514,0.28785046728972,0.0841121495327103,0.0392523364485981,0.0429906542056075
"8",5,"Engativá","GMTVIL S.A.S.","10",823,32,100,95,103,90,28,510,0.0627450980392157,0.196078431372549,0.186274509803922,0.201960784313725,0.176470588235294,0.0549019607843137
"9",3,"Suba Centro","EGOBUS","11",1424,82,156,126,54,11,9,490,0.16734693877551,0.318367346938775,0.257142857142857,0.110204081632653,0.0224489795918367,0.0183673469387755
"10",4,"Calle 80","ESTE ES MI BUS S.A.S.","12",473,38,107,106,70,27,13,408,0.0931372549019608,0.262254901960784,0.259803921568627,0.17156862745098,0.0661764705882353,0.0318627450980392
"11",6,"Fontibón","OPERADOR DE TRANSPORTE SOLIDARIO COOBUS S.A.S.","9, 13",911,52,117,80,55,39,11,398,0.130653266331658,0.293969849246231,0.201005025125628,0.138190954773869,0.0979899497487437,0.0276381909547739
"12",7,"Tintal-Zona Franca","ESTE ES MI BUS S.A.S.","8, 16, 9",220,13,119,117,48,32,23,390,0.0333333333333333,0.305128205128205,0.3,0.123076923076923,0.0820512820512821,0.058974358974359
"13",10,"Perdomo","EGOBUS","19, 6, 18, 15, 16, 8, 7",345,25,98,89,51,35,14,341,0.0733137829912024,0.287390029325513,0.26099706744868,0.149560117302053,0.102639296187683,0.0410557184750733
"14",2,"Suba Oriental","MASIVO CAPITAL","11",291,20,117,59,42,15,8,279,0.0716845878136201,0.419354838709677,0.211469534050179,0.150537634408602,0.0537634408602151,0.028673835125448
